focus,question_type,question,answer
Diabetes,susceptibility,What causes Diabetes ?,"Type 1 diabetes is an autoimmune disease. In an autoimmune reaction, antibodies, or immune cells, attach to the body's own healthy tissues by mistake, signaling the body to attack them. At present, scientists do not know exactly what causes the body's immune system to attack the insulin-producing cells in the pancreas in people with type 1 diabetes. However, many believe that both genetic factors and environmental factors are involved. Studies now are underway to identify these factors and prevent type 1 diabetes in people at risk. Type 2 diabetesthe most common form of diabetesis caused by a combination of factors, including insulin resistance, a condition in which the bodys muscle, fat, and liver cells do not use insulin effectively. Type 2 diabetes develops when the body can no longer produce enough insulin to compensate for the impaired ability to use insulin.  Get more details about who should be tested for diabetes."
Lupus,information,What is (are) Lupus ?,"Lupus is an autoimmune disease that can affect almost every organ in the body. Symptoms of lupus can range from very mild to life-threatening. There are three types of lupus; systemic lupus erythematosus, discoid lupus, and drug-induced lupus. Genetics is thought to play a role in the development of lupus along with other lifestyle and environmental factors. Studies suggest that a number of different genes may be involved in determining a persons likelihood of developing the disease, which tissues and organs are affected, and the severity of disease. The treatment of lupus depends on the severity of the condition and what parts of the body are affected. Treatment may include acetaminophen, ibuprofen, antimalarial drugs, anti-inflammatory steroids, and/or immunosuppressive drugs."
Lupus,symptoms,What are the symptoms of Lupus ?,"What are the signs and symptoms of Lupus? You can read about the signs and symptoms of lupus from MedlinePlus and the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS). The Human Phenotype Ontology provides the following list of signs and symptoms for Lupus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abdominal pain 90% Abnormality of temperature regulation 90% Abnormality of the heart valves 90% Abnormality of the pericardium 90% Alopecia 90% Arthralgia 90% Arthritis 90% Autoimmunity 90% Chest pain 90% Cutaneous photosensitivity 90% Skin rash 90% Thrombocytopenia 90% Thrombophlebitis 90% Abnormal pyramidal signs 50% Abnormal tendon morphology 50% Abnormality of the autonomic nervous system 50% Abnormality of the endocardium 50% Abnormality of the pleura 50% Anorexia 50% Arterial thrombosis 50% Aseptic leukocyturia 50% Bone marrow hypocellularity 50% Conjunctival telangiectasia 50% Cranial nerve paralysis 50% Cutis marmorata 50% Dry skin 50% Eczema 50% Edema of the lower limbs 50% Glomerulopathy 50% Hallucinations 50% Hematuria 50% Hepatomegaly 50% Hyperkeratosis 50% Hypoproteinemia 50% Increased antibody level in blood 50% Increased intracranial pressure 50% Lymphadenopathy 50% Lymphopenia 50% Meningitis 50% Myalgia 50% Normocytic anemia 50% Recurrent respiratory infections 50% Renal insufficiency 50% Sleep disturbance 50% Splenomegaly 50% Weight loss 50% Xerostomia 50% Abnormal blistering of the skin 7.5% Abnormality of eosinophils 7.5% Abnormality of the myocardium 7.5% Ascites 7.5% Aseptic necrosis 7.5% Cellulitis 7.5% Cerebral ischemia 7.5% Cerebral palsy 7.5% Coronary artery disease 7.5% Diarrhea 7.5% Fatigable weakness 7.5% Feeding difficulties in infancy 7.5% Gastrointestinal infarctions 7.5% Hemiplegia/hemiparesis 7.5% Hypermelanotic macule 7.5% Inflammation of the large intestine 7.5% Memory impairment 7.5% Myositis 7.5% Nausea and vomiting 7.5% Pancreatitis 7.5% Peripheral neuropathy 7.5% Pulmonary embolism 7.5% Pulmonary hypertension 7.5% Pulmonary infiltrates 7.5% Restrictive lung disease 7.5% Retinopathy 7.5% Seizures 7.5% Skin ulcer 7.5% Subcutaneous hemorrhage 7.5% Telangiectasia of the skin 7.5% Urticaria 7.5% Vasculitis 7.5% Verrucae 7.5% Antinuclear antibody positivity - Antiphospholipid antibody positivity - Autosomal dominant inheritance - Hemolytic anemia - Leukopenia - Nephritis - Pericarditis - Pleuritis - Psychosis - Systemic lupus erythematosus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Lupus,inheritance,Is Lupus inherited ?,"Is lupus inherited? The Lupus Foundation of American has a page called Is lupus hereditary? that provides a good overview. They also have a Genetics page for all of their content tagged as related to genetics. Medscape Reference has an in-depth review of the genetics of lupus that was written for healthcare professionals but can be useful to anyone looking for detailed information. You may have to register to view the article, but registration is free."
Lupus,treatment,What are the treatments for Lupus ?,"How might lupus be treated? For information on the treatment of lupus, you can read the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) publication called Handout on Health: Systemic Lupus Erythematosus. NIAMS is the primary NIH organization for research and information on lupus."
ADCY5-related dyskinesia,treatment,What are the treatments for ADCY5-related dyskinesia ?,"These resources address the diagnosis or management of ADCY5-related dyskinesia:  - Gene Review: Gene Review: ADCY5-Related Dyskinesia  - Genetic Testing Registry: Dyskinesia, familial, with facial myokymia  - National Ataxia Foundation: Movement Disorder Clinics   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
Myasthenia Gravis,treatment,What are the treatments for Myasthenia Gravis ?,"Myasthenia gravis can be controlled. Some medications improve neuromuscular transmission and increase muscle strength, and some suppress the production of abnormal antibodies. These medications must be used with careful medical follow up because they may cause major side effects. Thymectomy, the surgical removal of the thymus gland (which often is abnormal in those with myasthenia gravis), improves symptoms in certain individuals Other therapies include plasmapheresis, a procedure in which abnormal antibodies are removed from the blood, and high-dose intravenous immune globulin, which temporarily modifies the immune system and provides the body with normal antibodies from donated blood."
Glanzmann thrombasthenia,information,What is (are) Glanzmann thrombasthenia ?,"Glanzmann thrombasthenia (GT) is a rare inherited blood clotting disorder that is present at birth. It is characterized by the impaired function of specialized blood cells, called platelets, that are essential for proper blood clotting. Signs and symptoms vary greatly from person to person. Symptoms usually include abnormal bleeding, which can be severe. Other symptoms may include easy bruising, nose bleeds, bleeding from the gums, and/or heavy menstrual bleeding. Rarely, internal bleeding and blood in the urine (hematuria) can occur. Prolonged untreated or unsuccessfully treated bleeding may be life threatening. This condition is inherited in an autosomal recessive fashion and is caused by mutations in either the ITGA2B or ITGB3 genes."
Camurati-Engelmann disease,symptoms,What are the symptoms of Camurati-Engelmann disease ?,"What are the signs and symptoms of Camurati-Engelmann disease? People with Camurati-Engelmann disease have increased bone density, particularly affecting the long bones of the arms and legs (tibia, femur, humerus, ulna, radius). In some cases, the skull and hip bones are also affected. The thickened bones can lead to pain in the arms and legs, a waddling walk, muscle weakness, and extreme tiredness. An increase in the density of the skull results in increased pressure on the brain and can cause a variety of neurological problems, including headaches, hearing loss, vision problems, dizziness (vertigo), ringing in the ears (tinnitus), and facial paralysis. The added pressure that thickened bones put on the muscular and skeletal systems can cause abnormal curvature of the spine (scoliosis), joint deformities (contractures), knock knees, and flat feet (pes planus). Other features of Camurati-Engelmann disease include abnormally long limbs in proportion to height, a decrease in muscle mass and body fat, and delayed puberty. In the most severe cases, the mandibula (jaw), vertebrae, thoracic cage, shoulder girdle, and carpal (hands, wrist) and tarsal (foot, ankle) bones are involved. Radiographically (on X-ray), the shafts of long bones show symmetric and progressive widening and malformation (diaphyseal dysplasia). Vascular (Raynaud's phenomenon) and hematological (anemia, leukopenia (low level of white blood cells), increased erythrocyte sedimentation rate) features and hepatosplenomegaly are commonly associated with the disease. The age at which affected individuals first experience symptoms varies greatly; however, most people with this condition develop pain or weakness by adolescence. The Human Phenotype Ontology provides the following list of signs and symptoms for Camurati-Engelmann disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the femur 90% Abnormality of the humerus 90% Abnormality of the ulna 90% Aplasia/Hypoplasia of the radius 90% Bone pain 90% Hyperostosis 90% Skeletal dysplasia 90% Abnormality of the metaphyses 50% Limitation of joint mobility 50% Skeletal muscle atrophy 50% Abnormal facial shape 7.5% Abnormality of the genital system 7.5% Abnormality of the hip bone 7.5% Abnormality of the urinary system 7.5% Acrocyanosis 7.5% Anemia 7.5% Anorexia 7.5% Carious teeth 7.5% Delayed eruption of teeth 7.5% Disproportionate tall stature 7.5% Facial palsy 7.5% Feeding difficulties in infancy 7.5% Frontal bossing 7.5% Genu valgum 7.5% Glaucoma 7.5% Hearing impairment 7.5% Hepatomegaly 7.5% Hyperlordosis 7.5% Hypertrophic cardiomyopathy 7.5% Incoordination 7.5% Kyphosis 7.5% Leukopenia 7.5% Neurological speech impairment 7.5% Optic atrophy 7.5% Pes planus 7.5% Proptosis 7.5% Scoliosis 7.5% Splenomegaly 7.5% Autosomal dominant inheritance - Bone marrow hypocellularity - Cortical thickening of long bone diaphyses - Decreased subcutaneous fat - Delayed puberty - Diaphyseal sclerosis - Diplopia - Easy fatigability - Headache - Juvenile onset - Limb pain - Mandibular prognathia - Optic nerve compression - Poor appetite - Sclerosis of skull base - Slender build - Waddling gait - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Burns,information,What is (are) Burns ?,"A burn is damage to your body's tissues caused by heat, chemicals, electricity, sunlight or radiation. Scalds from hot liquids and steam, building fires and flammable liquids and gases are the most common causes of burns. Another kind is an inhalation injury, caused by breathing smoke.    There are three types of burns:       -  First-degree burns damage only the outer layer of skin     -  Second-degree burns damage the outer layer and the layer underneath    -  Third-degree burns damage or destroy the deepest layer of skin and tissues underneath       Burns can cause swelling, blistering, scarring and, in serious cases, shock and even death. They also can lead to infections because they damage your skin's protective barrier. Treatment for burns depends on the cause of the burn, how deep it is, and how much of the body it covers. Antibiotic creams can prevent or treat infections. For more serious burns, treatment may be needed to clean the wound, replace the skin, and make sure the patient has enough fluids and nutrition.    NIH: National Institute of General Medical Sciences"
congenital generalized lipodystrophy,inheritance,Is congenital generalized lipodystrophy inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
pseudoachondroplasia,information,What is (are) pseudoachondroplasia ?,"Pseudoachondroplasia is an inherited disorder of bone growth. It was once thought to be related to another disorder of bone growth called achondroplasia, but without that disorder's characteristic facial features. More research has demonstrated that pseudoachondroplasia is a separate disorder.  All people with pseudoachondroplasia have short stature. The average height of adult males with this condition is 120 centimeters (3 feet, 11 inches), and the average height of adult females is 116 centimeters (3 feet, 9 inches). Individuals with pseudoachondroplasia are not unusually short at birth; by the age of two, their growth rate falls below the standard growth curve.  Other characteristic features of pseudoachondroplasia include short arms and legs; a waddling walk; joint pain in childhood that progresses to a joint disease known as osteoarthritis; an unusually large range of joint movement (hyperextensibility) in the hands, knees, and ankles; and a limited range of motion at the elbows and hips. Some people with pseudoachondroplasia have legs that turn outward or inward (valgus or varus deformity). Sometimes, one leg turns outward and the other inward, which is called windswept deformity. Some affected individuals have a spine that curves to the side (scoliosis) or an abnormally curved lower back (lordosis). People with pseudoachondroplasia have normal facial features, head size, and intelligence."
what research (or clinical trials) is being done for Tarlov Cysts,general,what research (or clinical trials) is being done for Tarlov Cysts ?,"The NINDS, a component of the National Institutes of Health within the U.S. Department of Health and Human Services, vigorously pursues a research program seeking new treatments to reduce and prevent pain and nerve damage."
Myoepithelial carcinoma,information,What is (are) Myoepithelial carcinoma ?,Myoepithelial carcinoma is a rare malignant tumor that usually occurs in the salivary glands but can also occur in skin and soft tissues. The name of this cancer comes from the appearance of the tumor cells under the microscope. Approximately 66% of these tumors occur in the parotid gland. The average age of patients is reported to be 55 years.
Kuskokwim disease,treatment,What are the treatments for Kuskokwim disease ?,"How might Kuskokwim disease be treated? Treatment for Kuskokwim disease depends on the nature and severity of signs and symptoms in each affected individual. There is currently no completely successful approach to treat arthrogryposis. The goals of treatment may include lower-limb alignment, establishing stability for ambulation (moving about) and improving upper-limb function for self-care. Many individuals with Kuskokwim disease are treated with leg braces and/or surgery and eventually are able to walk upright."
Dermatomyositis,susceptibility,What causes Dermatomyositis ?,"What causes dermatomyositis? The cause of this disorder is unknown. It is theorized that an autoimmune reaction (reactions caused by an immune response against the body's own tissues) or a viral infection of the skeletal muscle may cause the disease. In addition, some doctors think certain people may have a genetic susceptibility to the disease."
Hepatitis A,information,What is (are) Hepatitis A ?,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons. Hepatitis is an inflammation of the liver. One type, hepatitis A, is caused by the hepatitis A virus (HAV). The disease spreads through contact with an infected person's stool. You can get it from       - Eating food made by an infected person who did not wash their hands after using the bathroom    - Drinking untreated water or eating food washed in untreated water    - Putting into your mouth a finger or object that came into contact with an infected person's stool    - Having close contact with an infected person, such as through sex or caring for someone who is ill       Most people do not have any symptoms. If you do have symptoms, you may feel as if you have the flu. You may also have yellowish eyes and skin, called jaundice. A blood test will show if you have HAV.    HAV usually gets better in a few weeks without treatment. However, some people can have symptoms for up to 6 months. Your doctor may suggest medicines to help relieve your symptoms.    The hepatitis A vaccine can prevent HAV. Good hygiene can also help. Wash your hands thoroughly before preparing food, after using the toilet, or after changing a diaper. International travelers should be careful about drinking tap water.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Pectus carinatum,information,What is (are) Pectus carinatum ?,"Pectus carinatum refers to a chest wall abnormality in which the breastbone is pushed outward. It generally presents during childhood and worsens through adolescence. If the condition occurs in isolation, it is often not associated with any additional signs or symptoms. Rarely, affected people report shortness of breath during exercise, frequent respiratory infections, and/or asthma. The underlying cause of isolated pectus carinatum is unknown. Pectus carinatum can also be associated with a variety of genetic disorders and syndromes, including Marfan syndrome, Noonan syndrome, Morquio syndrome, homocystinuria, osteogenesis imperfecta, Coffin-Lowery syndrome, cardiofaciocutaneous syndrome, and certain chromosome abnormalities. In these cases, the condition has an underlying genetic cause and is associated with additional features that are characteristic of the genetic disease. Pectus carinatum is primarily a cosmetic concern and treatment, therefore, depends on the severity of the condition and the interests of the affected person and their family. In those who choose to pursue treatment, bracing and/or surgery may be an option."
genitopatellar syndrome,treatment,What are the treatments for genitopatellar syndrome ?,These resources address the diagnosis or management of genitopatellar syndrome:  - Gene Review: Gene Review: KAT6B-Related Disorders  - Genetic Testing Registry: Genitopatellar syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
N-acetylglutamate synthetase deficiency,information,What is (are) N-acetylglutamate synthetase deficiency ?,"N-acetylglutamate synthase deficiency is type of urea cycle disorder. It causes toxic levels of ammonia to accumulate in the blood. Signs and symptoms in newborns may include a lack of energy, unwillingness to eat, seizures, unusual body movements, and poorly controlled breathing or body temperature. Complications may include coma, developmental delay, and learning disability. Some people have a less severe form of the deficiency with earliest symptoms manifesting later in life, particularly following high-protein meals, illness, or other stress. Signs and symptoms may include sudden vomiting, lack of coordination, confusion, and coma. N-acetylglutamate synthase deficiency is caused by mutations in the NAGS gene and is inherited in an autosomal recessive fashion."
Congenital central hypoventilation syndrome,symptoms,What are the symptoms of Congenital central hypoventilation syndrome ?,"What are the signs and symptoms of Congenital central hypoventilation syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital central hypoventilation syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aganglionic megacolon 90% Apnea 90% Respiratory insufficiency 90% Short stature 90% Strabismus 90% Cognitive impairment 50% Muscular hypotonia 50% Seizures 50% Neuroblastoma 7.5% Oligohydramnios 7.5% Polyhydramnios 7.5% Prenatal movement abnormality 7.5% Sensorineural hearing impairment 7.5% Abnormality of temperature regulation - Abnormality of the cardiovascular system - Abnormality of the mouth - Autosomal dominant inheritance - Central hypoventilation - Constipation - Feeding difficulties - Ganglioneuroblastoma - Ganglioneuroma - Hyperhidrosis - Low-set ears - Posteriorly rotated ears - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Intraocular (Uveal) Melanoma,risk,Who is at risk for Intraocular (Uveal) Melanoma? ?,"Being older and having fair skin may increase the risk of intraocular melanoma. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk.    Risk factors for intraocular melanoma include the following:         - Having a fair complexion, which includes the following:                - Fair skin that freckles and burns easily, does not tan, or tans poorly.      - Blue or green or other light-colored eyes.             - Older age.    - Being white."
what research (or clinical trials) is being done for Kennedy's Disease,general,what research (or clinical trials) is being done for Kennedy's Disease ?,"The NINDS supports a broad spectrum of research on motor neuron diseases, such as Kennedy's disease. Much of this research is aimed at increasing scientific understanding of these diseases and, ultimately, finding ways to prevent, treat, and cure them."
Parkinson's Disease,information,What is (are) Parkinson's Disease ?,"Parkinson's disease (PD) is a type of movement disorder. It happens when nerve cells in the brain don't produce enough of a brain chemical called dopamine. Sometimes it is genetic, but most cases do not seem to run in families. Exposure to chemicals in the environment might play a role.    Symptoms begin gradually, often on one side of the body. Later they affect both sides. They include       - Trembling of hands, arms, legs, jaw and face     - Stiffness of the arms, legs and trunk     - Slowness of movement     - Poor balance and coordination        As symptoms get worse, people with the disease may have trouble walking, talking, or doing simple tasks. They may also have problems such as depression, sleep problems, or trouble chewing, swallowing, or speaking.    There is no lab test for PD, so it can be difficult to diagnose. Doctors use a medical history and a neurological examination to diagnose it.    PD usually begins around age 60, but it can start earlier. It is more common in men than in women. There is no cure for PD. A variety of medicines sometimes help symptoms dramatically. Surgery and deep brain stimulation (DBS) can help severe cases. With DBS, electrodes are surgically implanted in the brain. They send electrical pulses to stimulate the parts of the brain that control movement.    NIH: National Institute of Neurological Disorders and Stroke"
Problems with Taste,information,What is (are) Problems with Taste ?,"Taste, or gustation, is one of our most robust senses. Although there is a small decline in taste in people over 60, most older people will not notice it because normal aging does not greatly affect our sense of taste. Problems with taste occur less frequently than problems with smell. How Our Sense of Taste Works Our sense of taste, along with our sense of smell, is part of our chemical sensing system. Normal taste occurs when tiny molecules released by chewing or the digestion of food stimulate special sensory cells in the mouth and throat. These taste cells, or gustatory cells, send messages through three specialized taste nerves to the brain, where specific tastes are identified. Damage to these nerves following head injury can lead to taste loss. The taste cells are clustered within the taste buds of the tongue and roof of the mouth, and along the lining of the throat. Many of the small bumps that can be seen on the tip of the tongue contain taste buds. At birth, we have about 10,000 taste buds scattered on the back, sides, and tip of the tongue. After age 50, we may start to lose taste buds. Five Taste Sensations We can experience five basic taste sensations: sweet, sour, bitter, salty, and umami, or savory. Umami is the taste we get from glutamate, a building block of protein found in chicken broth, meat stock, and some cheeses. Umami is also the taste associated wtih MSG (monosodium glutamate) that is often added to foods as a flavor enhancer. The five taste qualities combine with other oral sensations, such as texture, spiciness, temperature, and aroma to produce what is commonly referred to as flavor. It is flavor that lets us know whether we are eating an apple or a pear. Flavors and the Sense of Smell Many people are surprised to learn that we recognize flavors largely through our sense of smell. Try holding your nose while eating chocolate. You will be able to distinguish between its sweetness and bitterness, but you can't identify the chocolate flavor. That's because the distinguishing characteristic of chocolate is largely identified by our sense of smell as aromas are released during chewing. Food flavor is affected by a head cold or nasal congestion because the aroma of food does not reach the sensory cells that detect odors. More information on this topic can be found in the topic Problems With Smell  Smell and Taste Closely Linked Smell and taste are closely linked senses. Many people mistakenly believe they have a problem with taste, when they are really experiencing a problem with smell. It is common for people who lose their sense of smell to say that food has lost its taste. This is incorrect; the food has lost its aroma, but taste remains. In older people, there is a normal decline in the sense of smell and the taste of food shifts toward blandness. This is why people often believe they have a taste problem. When Taste is Impaired Problems with taste can have a big impact on an older person's life. Because taste affects the amount and type of food we eat, when there are problems with taste, a person may change his or her eating habits. Some people may eat too much and gain weight, while others may eat too little and lose weight. A loss of appetite, especially in older adults, can lead to loss of weight, poor nutrition, weakened immunity, and even death. Taste helps us detect spoiled food or liquids and it also helps some people detect ingredients they are allergic to. A problem with taste can weaken or remove an early warning system that most of us take for granted. A distorted sense of taste can be a serious risk factor for illnesses that require sticking to a specific diet. Loss of taste can cause us to eat too much sugar or salt to make our food taste better. This can be a problem for people with such illnesses as diabetes or high blood pressure. In severe cases, loss of taste can lead to depression. Taste Problems Are Often Temporary When an older person has a problem with taste, it is often temporary and minor. True taste disorders are uncommon. When a problem with taste exists, it is usually caused by medications, disease, some cancer treatments, or injury. Many older people believe that there is nothing they can do about their weakened sense of taste. If you think you have a problem with your sense of taste, see your doctor. Depending on the cause of your problem, your doctor may be able to suggest ways to regain your sense of taste or to cope with the loss of taste."
Leber congenital amaurosis 10,symptoms,What are the symptoms of Leber congenital amaurosis 10 ?,"What are the signs and symptoms of Leber congenital amaurosis 10? The Human Phenotype Ontology provides the following list of signs and symptoms for Leber congenital amaurosis 10. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Seizures 2/4 Autosomal recessive inheritance - Hyposmia - Visual impairment - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
what research (or clinical trials) is being done for Intraocular (Uveal) Melanoma,general,what research (or clinical trials) is being done for Intraocular (Uveal) Melanoma ?,"New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials."
gnathodiaphyseal dysplasia,inheritance,Is gnathodiaphyseal dysplasia inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.  In some cases, an affected person inherits the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family."
Myhre syndrome,information,What is (are) Myhre syndrome ?,"Myhre syndrome is a rare inherited disorder characterized by intellectual disability, short stature, unusual facial features, and various bone (skeletal) abnormalities. Other findings may include hearing impairment, abnormal enlargement of the muscles (muscle hypertrophy), and/or joint stiffness. Myhre syndrome is caused by mutations in the SMAD4 gene. This condition is inherited in an autosomal dominant pattern. Most cases are due to a new mutation."
Marfan syndrome,frequency,How many people are affected by Marfan syndrome ?,"The incidence of Marfan syndrome is approximately 1 in 5,000 worldwide."
Crigler-Najjar syndrome,inheritance,Is Crigler-Najjar syndrome inherited ?,"Crigler-Najjar syndrome is inherited in an autosomal recessive pattern, which means both copies of the UGT1A1 gene in each cell have mutations. A less severe condition called Gilbert syndrome can occur when one copy of the UGT1A1 gene has a mutation."
How to diagnose Hypohidrotic ectodermal dysplasia,general,How to diagnose Hypohidrotic ectodermal dysplasia ?,"Is genetic testing available for hypohidrotic ectodermal dysplasia? Yes. Genetic testing for hypohidrotic ectodermal dysplasia is available. In most cases, hypohidrotic ectodermal dysplasia can be diagnosed after infancy based upon the physical features in the affected child. Genetic testing may be ordered to confirm the diagnosis. Other reasons for testing may include to identify carriers or for prenatal diagnosis. Clinical testing is available for detection of disease causing mutations in the EDA, EDAR, and EDARADD genes. We recommend that you speak with a health care provider or a genetics professional to learn more about your testing options. The Genetic Testing Registry (GTR) provides information about the genetic tests for this condition. The intended audience for the GTR is health care providers and researchers. Patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional."
Mollaret meningitis,symptoms,What are the symptoms of Mollaret meningitis ?,"What are the symptoms of Mollaret meningitis? The symptoms of Mollaret meningitis are the same as those found in other types of meningitis. In Mollaret meningitis, however, the symptoms are recurring and are often accompanied by long-term irregularity of the nervous system. Common symptoms of meningitis may include: High fever  Severe headache Nausea Vomiting Stiff neck Photophobia (sensitivity to light) Altered mental state"
acute promyelocytic leukemia,frequency,How many people are affected by acute promyelocytic leukemia ?,"Acute promyelocytic leukemia accounts for about 10 percent of acute myeloid leukemia cases. Acute promyelocytic leukemia occurs in approximately 1 in 250,000 people in the United States."
Ulcerative Colitis,susceptibility,What causes Ulcerative Colitis ?,"The exact cause of ulcerative colitis is unknown. Researchers believe the following factors may play a role in causing ulcerative colitis:
                
- overactive intestinal immune system  - genes  - environment
                
Overactive intestinal immune system. Scientists believe one cause of ulcerative colitis may be an abnormal immune reaction in the intestine. Normally, the immune system protects the body from infection by identifying and destroying bacteria, viruses, and other potentially harmful foreign substances. Researchers believe bacteria or viruses can mistakenly trigger the immune system to attack the inner lining of the large intestine. This immune system response causes the inflammation, leading to symptoms.
                
Genes. Ulcerative colitis sometimes runs in families. Research studies have shown that certain abnormal genes may appear in people with ulcerative colitis. However, researchers have not been able to show a clear link between the abnormal genes and ulcerative colitis.
                
Environment. Some studies suggest that certain things in the environment may increase the chance of a person getting ulcerative colitis, although the overall chance is low. Nonsteroidal anti-inflammatory drugs,1 antibiotics,1 and oral contraceptives2 may slightly increase the chance of developing ulcerative colitis. A high-fat diet may also slightly increase the chance of getting ulcerative colitis.3
                
Some people believe eating certain foods, stress, or emotional distress can cause ulcerative colitis. Emotional distress does not seem to cause ulcerative colitis. A few studies suggest that stress may increase a person's chance of having a flare-up of ulcerative colitis. Also, some people may find that certain foods can trigger or worsen symptoms."
